t,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
1.0,447.7501,897.377,1349.229,1803.13,2258.744,2715.725,3173.78,3632.668,4092.2029999999995,4552.255999999999,5012.711,5473.525000000001,5934.589999999999,6395.902,6857.419,7319.039,7780.862999999999,8242.751999999999,8704.776,9166.887
2.0,417.7098000000001,847.472,1287.393,1734.126,2185.1150000000002,2638.759,3094.172,3550.7799999999997,4008.2380000000003,4466.307,4924.826,5383.713,5842.849,6302.197999999999,6761.743,7221.364,7681.181,8141.050000000001,8601.016,9061.076
3.0,399.9243,822.633,1260.172,1705.8329999999999,2156.054,2609.0229999999997,3063.7400000000002,3519.604,3976.254,4433.451999999999,4891.062,5349.0,5807.177,6265.562999999999,6724.147,7182.83,7641.673000000001,8100.5830000000005,8559.588,9018.690999999999
4.0,387.46130000000005,805.7439999999999,1241.334,1685.7130000000002,2134.972,2587.048,3040.826,3495.714,3951.451,4407.738,4864.4710000000005,5321.572,5778.929,6236.504,6694.275,7152.165,7610.251,8068.445,8526.722,8985.098
5.0,377.65689999999995,792.24,1225.909,1669.049,2117.2349999999997,2568.283,3021.096,3475.137,3930.0679999999993,4385.612999999999,4841.618,5297.987999999999,5754.65,6211.5650000000005,6668.725,7126.001,7583.415,8040.921,8498.532,8956.264000000001
6.0,369.4098,780.662,1212.483,1654.3809999999999,2101.498,2551.584,3003.5750000000003,3456.878,3911.13,4365.995,4821.359,5277.1230000000005,5733.192999999999,6189.523,6646.04,7102.695,7559.527,8016.459999999999,8473.49,8930.637
7.0,362.1983,770.3790000000001,1200.481,1641.1519999999998,2087.249,2536.482,2987.774,3440.432,3894.036,4348.29,4803.076,5258.255,5713.777,6169.523,6625.4980000000005,7081.615,7537.903000000001,7994.299999999999,8450.803,8907.429
8.0,355.74609999999996,761.066,1189.547,1629.0510000000002,2074.206,2522.715,2973.368,3425.3880000000004,3878.379,4332.08,4786.295,5240.997,5695.963,6151.205,6606.67,7062.285,7518.082,7973.999,8430.030999999999,8886.192
9.0,349.8973,752.539,1179.479,1617.894,2062.215,2510.052,2960.07,3411.458,3863.9179999999997,4317.067,4770.82,5225.013,5679.4980000000005,6134.258,6589.257,7044.421,7499.774,7955.252999999999,8410.853,8866.585000000001
10.0,344.5484,744.6739999999999,1170.155,1607.54,2051.103,2498.286,2947.674,3398.495,3850.4479999999994,4303.13,4756.412,5210.114,5664.158,6118.481,6573.054,7027.799,7482.737999999999,7937.807999999999,8393.005000000001,8848.364
